PairIndex,Molnupiravir,Nirmatrelvir,Response
1,0,0,-3.3
1,0,6.25,0.5
1,0,12.5,6.5
1,0,25,6.2
1,0,50,72.6
1,0,100,98.1
1,125,0,46.26027121
1,125,6.25,56.81240049
1,125,12.5,58.89866955
1,125,25,70.9002068
1,125,50,95.69386747
1,125,100,102.0954194
1,250,0,79.8821441
1,250,6.25,78.02646268
1,250,12.5,81.33155207
1,250,25,89.53388357
1,250,50,98.70248705
1,250,100,103.0287503
1,500,0,90.906429
1,500,6.25,96.79190381
1,500,12.5,97.88994016
1,500,25,98.26327251
1,500,50,103.5009059
1,500,100,103.7644346
1,1000,0,92.95975697
1,1000,6.25,100.3715023
1,1000,12.5,100.6240507
1,1000,25,103.7863953
1,1000,50,105.7299197
1,1000,100,101.7769888
1,2000,0,96.48445364
1,2000,6.25,101.0852259
1,2000,12.5,100.6460114
1,2000,25,101.601303
1,2000,50,101.3487546
1,2000,100,101.1620885
2,0,0,6.818805702
2,0,6.25,15.78976264
2,0,12.5,9.344289296
2,0,25,20.88465128
2,0,50,66.09080761
2,0,100,99.00993723
2,125,0,37.54186264
2,125,6.25,44.96458833
2,125,12.5,47.29242538
2,125,25,80.332339
2,125,50,92.92681588
2,125,100,101.3707154
2,250,0,69.35197555
2,250,6.25,70.9880497
2,250,12.5,79.58567429
2,250,25,89.18251194
2,250,50,98.18640997
2,250,100,102.7762019
2,500,0,90.85152719
2,500,6.25,93.49779478
2,500,12.5,97.02249144
2,500,25,94.98014384
2,500,50,105.8397233
2,500,100,103.6985524
2,1000,0,99.87738594
2,1000,6.25,99.6797394
2,1000,12.5,99.07581941
2,1000,25,101.7001263
2,1000,50,99.03189796
2,1000,100,98.96601578
2,2000,0,97.82405798
2,2000,6.25,99.30640704
2,2000,12.5,100.3605219
2,2000,25,97.15425581
2,2000,50,101.0193437
2,2000,100,102.6224768
3,0,0,-3.868562543
3,0,6.25,7.259409131
3,0,12.5,5.14621855
3,0,25,19.00560145
3,0,50,79.80479215
3,0,100,103.3421383
3,125,0,28.95333371
3,125,6.25,52.69300661
3,125,12.5,39.50804624
3,125,25,65.04617921
3,125,50,94.08006894
3,125,100,106.3545589
3,250,0,74.16212368
3,250,6.25,73.53266266
3,250,12.5,83.99745218
3,250,25,90.73043706
3,250,50,102.3192641
3,250,100,107.9506922
3,500,0,89.33663051
3,500,6.25,89.87616853
3,500,12.5,95.68744263
3,500,25,98.57621911
3,500,50,104.679743
3,500,100,102.5440716
3,1000,0,98.93591113
3,1000,6.25,99.37428577
3,1000,12.5,99.82390078
3,1000,25,97.35101819
3,1000,50,105.2642425
3,1000,100,102.735158
3,2000,0,97.49714307
3,2000,6.25,100.4308811
3,2000,12.5,97.21613369
3,2000,25,99.26188201
3,2000,50,103.7355514
3,2000,100,97.30605669
4,0,0,3.381271078
4,0,6.25,12.58671606
4,0,12.5,2.815104758
4,0,25,8.329984098
4,0,50,43.10727454
4,0,100,89.41758261
4,125,0,23.59550562
4,125,6.25,38.11662327
4,125,12.5,41.11520786
4,125,25,44.30251455
4,125,50,83.50428993
4,125,100,105.5847764
4,250,0,60.61649222
4,250,6.25,66.12088699
4,250,12.5,66.59269226
4,250,25,70.78651685
4,250,50,92.11211491
4,250,100,107.5873277
4,500,0,89.96277981
4,500,6.25,89.54339735
4,500,12.5,88.16991979
4,500,25,90.16198647
4,500,50,94.12515072
4,500,100,105.1339403
4,1000,0,93.53801527
4,1000,6.25,95.4357209
4,1000,12.5,95.08973037
4,1000,25,93.31783948
4,1000,50,94.55501774
4,1000,100,103.2362346
4,2000,0,90.3192549
4,2000,6.25,93.27590124
4,2000,12.5,89.71115033
4,2000,25,89.31273699
4,2000,50,92.40568263
4,2000,100,98.14073776
5,0,0,15.12397994
5,0,6.25,17.4200989
5,0,12.5,15.51190871
5,0,25,15.5433624
5,0,50,40.80067101
5,0,100,80.99847974
5,125,0,25.73435616
5,125,6.25,26.91911161
5,125,12.5,36.11407203
5,125,25,41.84912716
5,125,50,78.90156744
5,125,100,105.6057455
5,250,0,51.66267671
5,250,6.25,53.91685743
5,250,12.5,60.86812169
5,250,25,64.51674909
5,250,50,87.83441383
5,250,100,106.1509427
5,500,0,90.10956367
5,500,6.25,89.41758261
5,500,12.5,90.57088437
5,500,25,91.09511245
5,500,50,95.45669002
5,500,100,108.0381638
5,1000,0,94.79616265
5,1000,6.25,96.37933143
5,1000,12.5,92.83554965
5,1000,25,95.7083195
5,1000,50,95.35184441
5,1000,100,106.8953466
5,2000,0,83.17926853
5,2000,6.25,101.1812606
5,2000,12.5,102.1772939
5,2000,25,103.8757929
5,2000,50,101.9151799
5,2000,100,108.9083824