id,NIR,Response
1,0,-3.3
1,6.25,0.5
1,12.5,6.5
1,25,6.2
1,50,72.6
1,100,98.1
2,0,6.818805702
2,6.25,15.78976264
2,12.5,9.344289296
2,25,20.88465128
2,50,66.09080761
2,100,99.00993723
3,0,-3.868562543
3,6.25,7.259409131
3,12.5,5.14621855
3,25,19.00560145
3,50,79.80479215
3,100,103.3421383
4,0,3.381271078
4,6.25,12.58671606
4,12.5,2.815104758
4,25,8.329984098
4,50,43.10727454
4,100,89.41758261
5,0,15.12397994
5,6.25,17.4200989
5,12.5,15.51190871
5,25,15.5433624
5,50,40.80067101
5,100,80.99847974